band_gap,formation_energy_per_atom,full_formula,task_id
0.0,-0.49101964583333313,Tb16Cd4Rh4,mp-568366
0.0,-0.12031423956521729,Mg42Zn50,mp-570025
0.0,-0.42686877844827464,Cs4Te20Mo18,mp-581150
3.4539999999999997,-2.340291353496716,Cs6Na2Li4B4O12,mp-607931
2.4608,-1.1207972017074999,Cl8F24,mp-619575
0.0,-0.6310099458333331,Ce1In1Au2,mp-636232
3.6774,-2.1277906017303767,Rb8Cd8S12O48,mp-6623
0.0,-0.579433895375,Nd6Sn26Rh8,mp-680552
1.9874,-0.7239536266646667,H32W4S16N8,mp-697283
2.3007999999999997,-1.7334436756944445,Re2Ag2O8,mp-7094
3.4282000000000004,-3.8158707048863643,Sm6Ta2O14,mp-752686
2.6578,-3.0652279058514296,Mn2Al4O8,mp-755882
3.8853,-3.782921809999999,Sr2Zr7O16,mp-770419
4.8322,-2.7892234329684213,Ca4Sb8H8F56,mp-780667
0.0,-1.2772910530208321,Hf2Ge2S2,mp-7918
0.0,-2.508714990348889,K2Rh1F6,mp-8018
7.0881,-2.9417771163488093,P2F10,mp-8511
0.0,-0.42625478749999957,Eu1Mg1Hg2,mp-861928
0.0,-0.21061632250000173,Be1Ru2W1,mp-862622
0.0,-0.24240619500000005,Li1Ca2Rh1,mp-862764
0.8987999999999996,-0.37630289513888826,Li2B2C2,mp-9244
2.3664999999999994,-2.172589535867458,Rb1Er1S2,mp-9367
0.0,-0.3306584158333332,Tm1Al1Ag2,mp-980426
0.0,-0.7843093844466669,Ag2H2O4,mp-996958
0.17039999999999988,-0.6881150861111109,Er4Cr4B16,mp-985700
0.0,-0.567270822916667,Ba2In4Pd2,mp-1025520
0.0,-0.31762717399999973,Yb1Al2Si2,mp-10405
7.008900000000001,-3.061349561722857,Na1P1F6,mp-10474
0.0,-0.48231809575,Y3Ga1C1,mp-10601
0.0,-0.6342601400000003,Ce1Al4Si2Ir1,mp-1078427
0.0,-0.6544272800000002,Pr2Co2Ge4,mp-1079064
0.0,-0.5020198112500003,Ca2Ga4Ni2,mp-1080561
1.9348,-2.438559405575398,Nb10Pb14O39,mp-1101724
1.4656000000000002,-0.2457440726785709,Zn8P16,mp-11025
0.0,-0.16376710833333283,Ta4Be2,mp-11278
0.0,-0.47075468666666637,Ba2Cd2Ge2,mp-11816
0.3729,-1.2196149027083334,Co6Ag9Sb3O18,mp-1181748
0.0,-0.4499897766666665,Eu2Ag1Pb1,mp-1184199
0.36219999999999963,-0.014667739866666429,Ba1Mg149,mp-1184337
0.0,-0.05108141583333303,Zn1Ag1,mp-1187974
2.0326000000000004,-2.7197847407499998,Ca4Cr2Sb2O12,mp-1189906
0.0,-0.7068172945238086,Dy2Mn12P7,mp-1190617
0.0,-0.6889616188095241,Eu2Co12P7,mp-1191681
2.2949000000000006,-1.5762054405649988,Sm6B6N12,mp-1192040
2.8937000000000004,-2.8585220288137254,Na4Y4B4Te2O20,mp-1194587
0.4383999999999999,-2.4506731388825465,Na12Mn3S6O24F8,mp-1194939
2.5923,-2.37947841377193,Ca30I12O72,mp-1196062
2.3055,-0.48046920910271446,Cu4As48P16S48Cl4,mp-1197298
1.7598,-0.8527178398599999,Sb8N8Cl64O8,mp-1197652
2.5225,-2.0269561874601894,Rb4Mo6Se2O24,mp-1198721
0.0,-0.8141173063888879,Eu12Ge8As16,mp-1200526
0.0,-0.8290117223809522,Pr6Co18P12,mp-1204360
0.0,-2.526842723496622,La4Tm11S22,mp-1204597
1.1391,-1.057145675111111,K2Tc1Br6,mp-1206472
0.0,-0.8947640600000012,Zr4Ni4As4,mp-1207428
0.0,-0.6992449805555552,Tb3Cd3Pd3,mp-1208303
2.5202,-0.39006005399999993,Te8Br32,mp-1208424
5.5128,-2.762793765422795,Sm4S6O24,mp-1208980
4.3342,-2.422244481463572,Rb2Y2Se2Cl4O6,mp-1209082
4.3862,-4.242675400874631,Rb2Gd6F20,mp-1209289
1.1124,-2.3094094013488893,Pd2Pb4F12,mp-1209528
4.2104,-1.6928896023500002,Na6Er2Br12,mp-1210529
0.0,-0.31467585631578965,La12Ni6Pb1,mp-1211984
4.3632,-2.660586647191483,Rb8Pr16Cl56,mp-1209859
1.3301000000000003,-2.1379199728280947,Hf12C2Cl28,mp-1212485
1.0112999999999999,-0.9519686993769165,Hf4Te28Se4Cl24,mp-1212434
2.0776,-0.8013544771282332,Cs16Re24Se32I24,mp-1214500
0.0,-0.40428400583333346,Ti1Ga1Ni6,mp-1216876
0.0,-0.28644397000000055,Tb1Cu2Ni3,mp-1217570
1.198,-2.59091283359864,Na1Mo2P4O14,mp-1220983
0.0,-0.5059835375,La1Nd1Al4,mp-1222785
3.0522,-2.482213724416667,K2Mg1Zr1Mo4O16,mp-1223759
0.0,-0.24354751375000028,Fe3Ni1As4,mp-1224770
4.694299999999999,-2.8256377917863227,Cs4Si8H4O20,mp-1226125
0.0,-0.5405195066666669,Sc2Cu2Sn2,mp-13203
0.0,-0.3403306649999999,Ca2Cd4,mp-1444
0.0,-0.7382161058333327,Dy4Zn4Rh4,mp-13379
2.5344,-2.523934324270835,Ca2Ga8O14,mp-17914
2.2868999999999997,-1.2341990528566658,Sr8Nb4N12,mp-17701
0.0,-1.0566840414285719,Gd8Sb6,mp-20831
0.0,-0.8840731666666664,Tm4In2Pd4,mp-21205
0.0,-0.7775000666666673,Yb3In3Pd3,mp-21499
3.8015,-2.1445149146749998,Na8W2O10,mp-19334
0.0019000000000000128,-0.8092380579999997,Gd1Ge2Pd2,mp-22181
0.0,-2.858687270000001,Ba2Mg1Re1O6,mp-22441
2.1356,-1.5094390621428582,Ni4Ge2O8,mp-22638
4.3052,-2.73397926932,Nd2Cl6,mp-23183
0.0,-0.6961218555555556,Ce4Ge12Pd20,mp-21689
2.9045,-1.6635225728108536,Rb4Co2H16C4O20,mp-24624
5.4068,-1.5762284319493265,Mg3P4H48N2O30,mp-24303
2.8128000000000006,-2.0960980375347225,Ba12Si4S20,mp-27805
1.6129000000000002,-0.7549913416302084,Na8Ge4Se12,mp-28278
5.476800000000001,-1.2041768681008047,Rb4Cl4O16,mp-28433
3.1228,-1.6717271051833331,Na4Te8O18,mp-28904
5.7206,-1.6209870387292498,H16S4O20,mp-29095
0.5184000000000006,-0.4103751548809515,Si6P4Pt2,mp-29157
3.3405,-1.8848701169471427,Te4O6F4,mp-29185
0.0,-0.7474151305555563,Dy3Bi3Rh3,mp-30307
0.0,-0.5433344385714288,Ho2Al3Si2,mp-3328
4.8766,-3.4014928480113795,Cs2K1Zr1O1F5,mp-40143
0.0,-1.078046898999999,Pr1Si2Rh2,mp-4815
1.0283,-1.4991063743141382,Rb6Re6Cl24,mp-504957
3.1599,-2.2446908255,Sr2Bi2Br2O4,mp-552234
3.9435000000000002,-2.4818349002105258,K12Sc4Mo12O48,mp-555776
3.7314,-3.0701639808842853,Er4Mo4O16F4,mp-556766
6.4524,-3.3546691103833335,K20Li8Nd4F40,mp-557798
3.2106999999999997,-2.4938495033035717,Dy16Te24O72,mp-558224
5.206300000000001,-3.0655284957461237,Sr8B28O50,mp-559330
0.0,-1.0237403599458141,Ce2Ag12N18O54,mp-560230
1.6195,-2.196970721805555,Ba6Zn10In4O22,mp-560544
0.0,-0.7041678863888888,Sm3Hg3Pd3,mp-567912
1.1308000000000002,-1.5332884492968752,Sr2Lu2Cu2Se6,mp-568191
0.0,-0.5453123491379321,Mg6Si7Ni16,mp-570457
0.6025,-0.4044036197499999,Tc8Br32,mp-570480
0.0,-0.3947403385000001,Ba4Al8Ge8,mp-570482
0.0,-0.6882402838888879,Ce1B2Rh3,mp-5757
2.5338000000000003,-1.6649072809920686,Cs12Cu8Cl20,mp-582024
3.7131000000000003,-2.9139264416666673,Ba8Ti4Ge8O32,mp-6289
0.0,-0.25759562333333247,Tm2Co4,mp-632
0.0,-0.318967448250001,Ta8Co16Te16,mp-653697
0.0,-0.8512874483870974,Sm20Pd42,mp-662804
3.1473999999999998,-3.225876151952618,Cs2Ti2Zn2O2F10,mp-676448
0.2591000000000001,-0.9849116183976285,Cs4Ta4Se12,mp-685607
1.3435000000000001,-2.556864113081818,K4Mn2H4O2F10,mp-696630
0.0,-1.1731686083125,Pr14C6I20,mp-645425
0.8248999999999999,-1.8387531057500002,Na4Co2As2C2O14,mp-772664
0.0,-0.3374857775,Tb1Zn1,mp-836
0.0,-0.70905615625,Pm2Ir1Au1,mp-863715
0.0,-0.898728779919999,Yb2N4,mp-864757
0.0,-0.5768213616666666,Mg2Ag1Pt1,mp-864932
0.0,-0.3472973687500005,Ta1Zn1Ru2,mp-865234
0.0,-0.46219330874999986,Eu1Bi3,mp-865246
0.6421000000000001,-1.6555031428925,K8F24,mp-867934
1.8334000000000001,-2.5996132265969227,Na2Cr1H2F8,mp-973225
0.0,-0.6615335911111112,Ho6Co1Te2,mp-976064
0.0,-0.4836495998611123,Yb4B16Ru4,mp-982045
0.0,-0.49324849111111113,Hf10Zn2Sb6,mp-9952
1.5869,-2.367589618707143,Zn2Co2F10,mvc-14327
0.0,-0.7929361929519999,Ca4Co2N4,mvc-15272
2.0976,-2.837953290492858,Ca4Ni4F20,mvc-3744
0.0,-0.6295570599999998,Ho2Ga2,mp-1018073
0.08329999999999993,-1.0859083058333336,Sr6As6,mp-1049
0.0,-0.5793095333333333,Y2Zn2Ga2,mp-1071737
0.0,-1.040070580475998,Hf6Al2N2,mp-1079110
0.0,-0.5507601912500002,Tm2Cu2Sb4,mp-1079294
0.0,-0.442585022222222,Er2Ni1Sn6,mp-1079596
0.0,-0.6603217831250001,Nd2Co2Ge4,mp-1080572
0.0,0.0,Mg9,mp-1094122
0.0,-0.22195647750000091,Er4Tc8,mp-1095604
0.0,-0.7038405515894388,Rb2Mo6Se6,mp-1103685
5.0398,-2.916546965941327,K2Ca2P6O18,mp-11625
0.0,-0.40173590083333327,Sm3In3Cu3,mp-1179530
0.0,-0.5074399776666667,Hf8In4Ni8,mp-1185055
0.21370000000000022,-0.02086760188333301,Sm1Mg149,mp-1187791
0.0,-2.6444512082500005,Eu4Mg2Ir2O12,mp-1188494
0.0,-0.5591245614583329,Tb4B8Os4,mp-1189495
0.0,-0.0907827566477279,Er2Fe17C3,mp-1191671
2.7981999999999996,-1.377732994431111,Bi4Te4N4O24,mp-1195032
4.2219999999999995,-2.094816740927083,K4Sb4S8O32,mp-1195296
1.4691,-2.8059070064914287,K4Mn4P4O12F12,mp-1198325
0.0,-0.38155259361111227,Ta16Co4Te16,mp-1199549
0.0,-0.8644756478378374,Er6Si22Pt46,mp-1201817
0.1459999999999999,-1.4313696446590918,Cu4Te8Pb4O28,mp-1203135
2.5032,-1.716862424589844,Mo4Pb2Se4O22,mp-1204412
1.529,-1.7171247769687497,Ba2Pd2Se4O12,mp-1205352
0.0,-0.9954132944759998,Pr3Sn1N1,mp-1206822
3.7864999999999998,-2.790983849671698,Rb36Mg12B58O116F2,mp-1200013
0.0,-0.8157800648611118,Sm3As6Pd9,mp-1208854
0.0,-2.479350436695403,Rb2Eu2W4O16,mp-1209558
0.0,-0.7370935916666662,Pr10Sn6Au2,mp-1209635
0.7229000000000001,-2.414840542180243,Rb4Cu4P12O36,mp-1209760
0.0,-1.0010013057142852,Li4Eu4P4,mp-1211143
0.0,-0.6956462650000006,Nd4Ni4Ge4,mp-1210049
0.0,-0.8294439625,Er4Al18Rh6,mp-1212861
0.0,-0.9875754963127416,Dy16Ni36P22,mp-1213609
2.5600000000000005,-3.5037235173369567,Ba10Ho4Zr2Al4O26,mp-1214508
5.0791,-3.56698303982639,Y4Be2Al2B2O14,mp-1216100
0.0,-0.14171931921568662,Tb4Nd4Co56B4,mp-1217550
2.5615,-3.009199188162223,Ta4Mn4Nb4O24,mp-1217948
0.0,-0.029994935999999937,Pd4W1,mp-1219940
0.0,-0.2145382174999999,Li2Mg1Tl1,mp-1222613
0.0,-0.3111480603571429,Li4Cd5Sb5,mp-1222490
0.0,-0.2768475308341541,K1Rb1In4Au8,mp-1223353
1.4658000000000002,-1.1255605952812502,K1Bi1S2,mp-1223443
0.0,-0.6170111749999995,Ho1Zn1Si1,mp-1223786
2.6507000000000005,-3.444086610583335,Gd2B2O6,mp-1224628
0.0,-0.7271510799074071,Lu16V20B72,mp-1223330
0.0,-0.12828385095238154,Gd12Co9,mp-1225806
0.0,-2.783314541691999,Ca2Sm2Mn4O12,mp-1227151
0.3534000000000006,-1.096826757797619,Al1Cr4Ag1S8,mp-1228999
6.4009,-3.4827155546822226,Li2Ca2Ga2F12,mp-12829
0.8489000000000004,-1.2355676414285708,Cd2Rh4O8,mp-14100
0.0,-0.2882734674999998,Nb2Ni6,mp-1451
0.0,-0.6987096919999984,Ho4Ge4Os2,mp-15827
0.0,-0.19446401750000142,V6Co2,mp-1585
3.387,-2.764766784916666,Sr6Ge6O18,mp-17464
0.03230000000000022,-3.3218309621679696,Sm6Ti6Se4O16,mp-18082
5.5021,-3.2354831143668843,Ca8P8O28,mp-17922
3.6153,-2.9158658113571425,Na4Tm4Ge4O16,mp-18629
1.0159000000000002,-2.9509447048336366,Lu4Mn4O14,mp-19153
0.9405999999999999,-0.3567487162698413,Na20Sn4P12,mp-18317
4.146599999999999,-2.7282853224999997,Ba2Mo2O8,mp-19276
0.0,-0.4942353988888885,Dy1Co3B2,mp-20193
2.9685,-3.194929065833333,Gd2V2O8,mp-22024
0.0,-0.32109695000000116,Ga1Ru1,mp-22320
0.0,-0.4433143930357142,Ni12P4,mp-2296
0.0,-0.8628143329166656,Y2C2I2,mp-23062
4.6815,-1.989500917825,I10F50,mp-23257
5.1147,-1.6809738815211763,Sn1H8N2F6,mp-24113
0.6596,-0.7229455928333332,Na2Ag6O4,mp-27303
4.8099,-1.6673239435864278,Ba4H32O20,mp-28587
0.0,-0.7836961461904763,Sr3Ni6P6,mp-29167
0.5853999999999999,-1.1365047116071432,Sr32As24,mp-29424
3.8132,-2.4092767720899997,Na4Sc4Cl16,mp-29432
0.0,-0.17062933412500003,Na16Pb16,mp-30792
0.0,-0.39674060999999955,Lu2Ni1Sn6,mp-31136
0.7490000000000006,-0.2178753315624995,Co8Ge12Te12,mp-2994
1.7509,-0.8095797376160719,K4Au4S20,mp-3592
1.2296999999999998,-3.3855834692508338,Sm2S2F2,mp-3931
0.0,-2.688601584659092,Eu4Sn4O14,mp-505306
0.0,-1.0801375246174576,Rb2Fe2S4,mp-5372
2.7849000000000004,-2.696229998214285,Ca4Cr8O16,mp-540582
5.2239,-2.8218634147817463,Nd4Tl4P16O48,mp-540742
0.010299999999999976,-1.9321039063775507,Tl4Cu4P4O16,mp-541201
0.0,-0.595599984259259,Al6B4Ru8,mp-541849
0.007299999999999973,-1.8184612823863633,V4Cu4O14,mp-542860
2.0248999999999997,-1.80409642121638,Cs8K8Te4O20,mp-556400
3.9325,-2.9301035652518177,Ca12W4Cl8O20,mp-558558
2.2622,-2.164855911753167,Rb6Mo24P2O80,mp-560115
0.8801000000000005,-2.977590623799019,Eu8B20Br4O36,mp-558834
0.0,-0.6223759368181816,Er3Cu4Ge4,mp-567621
0.0,-0.4814438548214294,Sm2Co18Si8,mp-567852
0.0,-0.6554864999999994,Sc1Bi1,mp-570632
2.7939,-1.2357978355833332,Ti8Br32,mp-569814
0.952,-0.634993207667215,K20Ag8As12Se36,mp-570836
0.10279999999999978,-1.5851989070588237,Pr6Co1Br10,mp-570965
2.2085999999999997,-0.6814063150000003,Tl1I1,mp-571102
0.0,-0.4102558256666654,Nd2B4C4,mp-5765
1.9907,-0.8301407595258623,Cs2Hg4Br10,mp-619510
1.1042999999999998,-1.4528970541176471,Re8Hg20O40,mp-667343
3.0273000000000003,-2.629936111666667,Ba24Ga48O96,mp-680226
0.0,-0.25388841514705973,Ta84Te52,mp-680343
0.0,-0.26842528222222245,B2Pd4,mp-7424
0.0,-3.3796486910526315,Dy5Re2O12,mp-766367
0.0,-0.7069672325000003,Mg2Pt1Rh1,mp-864940
0.0,-0.20188096000000044,Al1Fe2W1,mp-862288
0.0,-0.6015653199999997,Lu1Tl1Rh2,mp-865438
0.0,-0.33567480812499984,Yb1Sm1Zn2,mp-865991
0.8472,-0.7274422576631944,K4Sn4Se10,mp-8966
0.0,-0.8899668775,Yb1Dy1Pd2,mp-980384
0.0,-2.1099487993749997,Dy2S4,mp-1018675
3.9006,-4.0069550435000005,Tb16O24,mp-1056
0.5556000000000001,-0.8737900270312506,Pb1S1,mp-1057015
0.0,0.0,Pr2,mp-1059256
0.0,-0.5293044025000002,Ba2Cd4Pt2,mp-1078435
0.3878999999999997,-0.9457452699999997,Ba4Cd2As4,mp-1079666
0.0,-0.33289706500000005,Hf1Al1Cu2,mp-10887
1.0051,-1.9465773981423613,Ba2Tb2Ag2S6,mp-1095340
1.2113000000000005,-0.4496790186979176,Sb4Ir4Se4,mp-1095507
0.0,-0.5361035299999996,Sr4Ga4Ge4,mp-1102705
0.0,-1.2173698657142857,Tm4Ni4P4,mp-1102558
0.0,-0.12034930874999983,La1Mg1,mp-1104
0.0,-0.9090198043333335,Pr9Pt6,mp-1104177
0.0,-0.2888986173333336,Mn4B16,mp-1106184
0.0,-0.45849301375000007,Ti3In3Rh2,mp-11073
0.0,-1.278982805039064,Nb4Pd2S10,mp-1106085
0.0,-0.5982318400000008,Tb3Al3Ni3,mp-11538
1.4061000000000003,-2.4795443960227286,Dy4Pt4O14,mp-1178365
0.0,-0.26505182500000046,Lu2Co1Cu1,mp-1185457
0.0,-0.2934267889583331,Nd1Cd1Ag2,mp-1186295
3.3852,-2.2140265706944446,Li2In2W4O16,mp-1190195
0.0,-0.06416103041666688,Y6Fe18,mp-1192321
1.4119,-1.9006353367753952,Rb2Pd1S8O26,mp-1195322
1.6504000000000003,-2.6158830595567863,La16Mn8Se16O16,mp-1196301
4.8312,-1.1771138534159404,Cs6H24N8F6,mp-1196740
2.2838,-2.3733422457236837,V16Cr8O52,mp-1200219
0.0,-0.8357962550000005,Y5Zr3Ni16As12,mp-1203300
0.7043000000000004,-1.4582825288333339,Zr3Tl2Cu2S8,mp-1207410
0.0,-1.0817659179411776,Zr14Pt20,mp-1207440
0.0,-0.42178019225000013,Pr6Sn26Ru8,mp-1210053
2.1491,-1.634607638695,Nb2Tl2Cl12,mp-1209881
3.1024000000000003,-3.3833512119999996,Nd12Tm8Ga12O48,mp-1210408
2.7388,-1.5324872244999999,K8La4I20,mp-1212017
2.8911000000000002,-2.634282989204546,La4Ga4Ge8O28,mp-1212633
0.0,-0.6949831024999993,Dy10Bi2Pd4,mp-1212882
1.3344999999999998,-0.4297622493665851,Cs4Na2Ga2P4,mp-1213705
0.0,-0.6698102812499999,Ce3Ni2Ge7,mp-1213875
0.9006999999999996,-0.7301839038541663,As4Ru4S4,mp-1214786
3.8454,-3.319252192942709,Ba18Dy6B18O54,mp-1214848
0.0,-0.3800523679166661,Tm1In2Sn1,mp-1216827
0.0,-2.9836261319230775,Ca3Nb12O24,mp-1227240
0.0,-2.1620200204499995,Ba10Bi2Pb8O30,mp-1228869
0.0,-1.0309240499027374,Cs1V1P2S7,mp-12324
0.0,-0.7503108236899987,Mg1Mn1N2,mp-1247154
1.2357,-0.7943331177698414,Na3Sr3P3,mp-13275
3.0283,-2.32567647432823,Zn8Ag8P24O72,mp-14260
0.5314999999999999,-1.1768432666133866,Rb36Fe8S28,mp-14890
0.0,-2.1262662065175,Zn1Rh1F6,mp-15637
0.0,-0.7540201987500001,Pr1Pd3,mp-1571
0.0,-0.8128587166666671,Yb1Au2,mp-1668
5.4251,-3.8851804207794447,K4Zr6O2F24,mp-17888
1.8267,-2.9521532909638695,Rb4Na2Mn6F24,mp-18518
0.0,-0.5263648893749995,Ga4As2Rh10,mp-18561
3.2799,-3.061799380659259,Na3Mn3Cr3F18,mp-18641
1.6507,-0.31989290308482127,P4Pb4Se12,mp-20316
0.0,-0.9812331824999999,Yb4Sb4Pd4,mp-20540
0.0,-0.20653074777777766,Ce3Mg3Tl3,mp-21518
0.3814000000000002,-0.3562312352500001,Ge24Ru16,mp-21945
0.3054000000000001,-2.1291423362500006,Ba2Pb2O6,mp-22230
3.3033,-2.1457821446333334,B4Cl4F24,mp-23398
2.4311000000000003,-1.1829306492241376,Rb2I2O8,mp-23450
4.8667,-2.459739842583334,Nd2H4Cl2O4,mp-24124
2.9329,-2.6040283341075003,Er2S2Cl2,mp-27616
1.2844,-1.551127366694406,Rb2Pd1Cl6,mp-28145
0.0,-0.5930042126190477,Ba4Cu6P8,mp-28661
1.9745000000000001,-1.3269490630833332,Na12Au4O8,mp-28365
0.0,-1.0914697871875,La12Si14Br6,mp-29560
0.0,-0.06801572944444582,Ti2Cd1,mp-30501
0.0,-0.47234824400000053,Ba2Ge4Ru4,mp-30050
0.0,-0.513404232307692,Ce2Al20Ru4,mp-31364
0.0,-1.0348493299999992,Lu1Rh1,mp-377
0.0,-0.7219406309999996,Er1Si2Os2,mp-3958
0.0,-0.9411584995000005,La1Si2Pd2,mp-4954
0.0,-0.5535023608333347,Ti6Co10B4,mp-504617
2.024,-1.4103181215813578,Cs2Sm2Zn2Se6,mp-505709
0.0,-0.27633190333333363,Sc2Fe4,mp-540
1.2694999999999999,-2.2442638878125,Nd1Bi2I1O4,mp-549333
0.9253,-0.6175397693975002,Hg28Cl8O12,mp-541193
2.1319,-1.5309636687053567,Hg12P4O16,mp-554914
1.8157999999999999,-2.1919348821057696,K4V4S8O36,mp-555364
4.3012999999999995,-2.8284784119536894,Cs2Sb4F14,mp-556583
